time,x,y,height
1770963177.276282,587.3158569335938,127.28717803955078,-157.68841552734375
1770963177.3392444,587.0156860351562,127.0796890258789,-157.40634155273438
1770963177.4027643,587.1981811523438,127.10265350341797,-157.43756103515625
1770963177.467724,587.8592529296875,127.45159912109375,-157.9119415283203
1770963177.5316849,587.5476684570312,127.37049865722656,-157.80169677734375
1770963177.5956454,587.2359619140625,127.27165222167969,-157.6673126220703
1770963177.6586058,587.12255859375,127.22373962402344,-157.6021728515625
1770963177.722566,586.828369140625,127.07049560546875,-157.3938446044922
1770963177.786527,586.7318725585938,127.01114654541016,-157.31317138671875
1770963177.8524854,586.7307739257812,127.05809020996094,-157.37698364257812
1770963177.9174466,586.5745849609375,127.02758026123047,-157.33551025390625
1770963177.9804072,586.3748168945312,126.95404815673828,-157.2355499267578
1770963178.0443687,586.1610107421875,126.79642486572266,-157.02125549316406
1770963178.1093276,585.641845703125,126.52497863769531,-156.65223693847656
1770963178.1792848,585.1193237304688,126.24430084228516,-156.2706756591797
1770963178.2492425,584.6168823242188,125.94766998291016,-155.86741638183594
1770963178.3152018,584.4114379882812,125.8356704711914,-155.71514892578125
1770963178.3791625,584.1585693359375,125.64466857910156,-155.4554901123047
1770963178.4406948,583.9375610351562,125.4936294555664,-155.2501678466797
1770963178.5006592,583.0987548828125,125.07015991210938,-154.67446899414062
1770963178.5636206,582.5601806640625,124.72303009033203,-154.2025604248047
1770963178.6255832,582.1829223632812,124.48579406738281,-153.8800506591797
1770963178.6885436,581.5217895507812,124.00920867919922,-153.23216247558594
1770963178.754504,580.7614135742188,123.49919128417969,-152.53880310058594
1770963178.8164644,580.3531494140625,123.2796859741211,-152.2404022216797
1770963178.8754294,580.0350952148438,123.07992553710938,-151.96884155273438
1770963178.941389,579.847412109375,122.91507720947266,-151.74473571777344
1770963178.9973547,579.9661254882812,122.98045349121094,-151.83360290527344
1770963179.0583174,579.7334594726562,122.887451171875,-151.70716857910156
1770963179.1282742,579.6851196289062,122.90790557861328,-151.7349853515625
1770963179.1982296,579.5769653320312,122.88043975830078,-151.69764709472656
1770963179.2681868,579.4237060546875,122.82107543945312,-151.616943359375
1770963179.3461275,579.3267822265625,122.7402572631836,-151.50706481933594
1770963179.413585,579.2846069335938,122.73770904541016,-151.50360107421875
1770963179.4792087,579.2660522460938,122.77202606201172,-151.55026245117188
1770963179.54417,579.3556518554688,122.79639434814453,-151.58338928222656
1770963179.6121285,579.681640625,122.97752380371094,-151.82962036132812
1770963179.682085,579.647705078125,122.94513702392578,-151.7855987548828
1770963179.746046,579.4708251953125,122.85062408447266,-151.6571044921875
1770963179.8120053,579.4536743164062,122.84954071044922,-151.6556396484375
1770963179.8749673,579.2509765625,122.69171142578125,-151.44107055664062
1770963179.9379263,578.94091796875,122.48920440673828,-151.165771484375
1770963179.9988906,578.5178833007812,122.15088653564453,-150.70584106445312
1770963180.0638506,578.3253784179688,121.97789001464844,-150.4706573486328
1770963180.1258125,578.49658203125,122.00796508789062,-150.5115509033203
1770963180.1907725,578.2859497070312,121.88264465332031,-150.3411865234375
1770963180.2567325,578.6971435546875,122.0978012084961,-150.63368225097656
1770963180.3196926,578.8938598632812,122.28641510009766,-150.8900909423828
1770963180.3826547,578.63818359375,122.20927429199219,-150.78521728515625
1770963180.4451864,578.6565551757812,122.18812561035156,-150.7564697265625
1770963180.5101447,578.7702026367188,122.38654327392578,-151.02621459960938
1770963180.5721066,578.7666015625,122.46376037597656,-151.1311798095703
1770963180.6370676,578.9527587890625,122.55198669433594,-151.25112915039062
1770963180.7070253,587.7031860351562,126.11029052734375,-156.08848571777344
1770963180.770986,582.97021484375,124.02362823486328,-153.2517547607422
